ändamål	redovisningsgrupp	tabellinnehåll	år	Användning av AI-baserad mjukvara eller system
produktions- eller serviceprocesser	byggindustri (SNI 41-43)	andel, procent	2024	0
produktions- eller serviceprocesser	byggindustri (SNI 41-43)	felmarginal, ±	2021	0
produktions- eller serviceprocesser	byggindustri (SNI 41-43)	felmarginal, ±	2023	0
produktions- eller serviceprocesser	byggindustri (SNI 41-43)	felmarginal, ±	2024	0
produktions- eller serviceprocesser	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2021	2
produktions- eller serviceprocesser	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2023	3
produktions- eller serviceprocesser	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2024	3
produktions- eller serviceprocesser	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2021	1
produktions- eller serviceprocesser	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2023	2
produktions- eller serviceprocesser	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2024	2
produktions- eller serviceprocesser	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2021	3
produktions- eller serviceprocesser	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2023	1
produktions- eller serviceprocesser	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2024	0
produktions- eller serviceprocesser	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2021	3
produktions- eller serviceprocesser	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2023	0
produktions- eller serviceprocesser	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2024	0
produktions- eller serviceprocesser	hotell och restauranger (SNI 55-56)	andel, procent	2021	..
produktions- eller serviceprocesser	hotell och restauranger (SNI 55-56)	andel, procent	2023	..
produktions- eller serviceprocesser	hotell och restauranger (SNI 55-56)	andel, procent	2024	..
produktions- eller serviceprocesser	hotell och restauranger (SNI 55-56)	felmarginal, ±	2021	..
produktions- eller serviceprocesser	hotell och restauranger (SNI 55-56)	felmarginal, ±	2023	..
produktions- eller serviceprocesser	hotell och restauranger (SNI 55-56)	felmarginal, ±	2024	..
produktions- eller serviceprocesser	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2021	5
produktions- eller serviceprocesser	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2023	17
produktions- eller serviceprocesser	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2024	23
produktions- eller serviceprocesser	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2021	2
produktions- eller serviceprocesser	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2023	5
produktions- eller serviceprocesser	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2024	6
produktions- eller serviceprocesser	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2021	1
produktions- eller serviceprocesser	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2023	2
produktions- eller serviceprocesser	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2024	5
produktions- eller serviceprocesser	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2021	1
produktions- eller serviceprocesser	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2023	2
produktions- eller serviceprocesser	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2024	4
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	andel, procent	2021	3
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	andel, procent	2023	..
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	andel, procent	2024	..
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	felmarginal, ±	2021	1
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	felmarginal, ±	2023	..
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	felmarginal, ±	2024	..
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2021	..
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2023	4
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2024	8
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2021	..
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2023	2
produktions- eller serviceprocesser	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2024	3
produktions- eller serviceprocesser	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2021	5
produktions- eller serviceprocesser	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2023	15
produktions- eller serviceprocesser	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2024	19
produktions- eller serviceprocesser	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2021	2
produktions- eller serviceprocesser	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2023	5
produktions- eller serviceprocesser	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2024	6
it-säkerhet	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2021	3
it-säkerhet	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2023	3
it-säkerhet	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2024	4
it-säkerhet	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2021	1
it-säkerhet	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2023	1
it-säkerhet	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2024	1
it-säkerhet	tillverkningsindustri (SNI 10-33)	andel, procent	2021	3
it-säkerhet	tillverkningsindustri (SNI 10-33)	andel, procent	2023	2
it-säkerhet	tillverkningsindustri (SNI 10-33)	andel, procent	2024	3
it-säkerhet	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2021	1
it-säkerhet	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2023	1
it-säkerhet	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2024	1
it-säkerhet	energi och återvinning (SNI 35-39)	andel, procent	2021	6
it-säkerhet	energi och återvinning (SNI 35-39)	andel, procent	2023	8
it-säkerhet	energi och återvinning (SNI 35-39)	andel, procent	2024	9
it-säkerhet	energi och återvinning (SNI 35-39)	felmarginal, ±	2021	2
it-säkerhet	energi och återvinning (SNI 35-39)	felmarginal, ±	2023	3
it-säkerhet	energi och återvinning (SNI 35-39)	felmarginal, ±	2024	3
it-säkerhet	byggindustri (SNI 41-43)	andel, procent	2021	1
it-säkerhet	byggindustri (SNI 41-43)	andel, procent	2023	0
it-säkerhet	byggindustri (SNI 41-43)	andel, procent	2024	..
it-säkerhet	byggindustri (SNI 41-43)	felmarginal, ±	2021	1
it-säkerhet	byggindustri (SNI 41-43)	felmarginal, ±	2023	0
it-säkerhet	byggindustri (SNI 41-43)	felmarginal, ±	2024	..
it-säkerhet	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2021	4
it-säkerhet	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2023	3
it-säkerhet	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2024	3
it-säkerhet	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2021	1
it-säkerhet	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2023	2
it-säkerhet	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2024	2
it-säkerhet	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2021	3
it-säkerhet	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2023	1
it-säkerhet	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2024	..
it-säkerhet	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2021	3
it-säkerhet	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2023	0
it-säkerhet	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2024	..
it-säkerhet	hotell och restauranger (SNI 55-56)	andel, procent	2021	1
it-säkerhet	hotell och restauranger (SNI 55-56)	andel, procent	2023	..
it-säkerhet	hotell och restauranger (SNI 55-56)	andel, procent	2024	..
it-säkerhet	hotell och restauranger (SNI 55-56)	felmarginal, ±	2021	1
it-säkerhet	hotell och restauranger (SNI 55-56)	felmarginal, ±	2023	..
it-säkerhet	hotell och restauranger (SNI 55-56)	felmarginal, ±	2024	..
it-säkerhet	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2021	11
it-säkerhet	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2023	12
it-säkerhet	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2024	16
it-säkerhet	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2021	4
it-säkerhet	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2023	5
it-säkerhet	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2024	5
it-säkerhet	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2021	2
it-säkerhet	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2023	3
it-säkerhet	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2024	4
it-säkerhet	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2021	2
it-säkerhet	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2023	2
it-säkerhet	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2024	3
it-säkerhet	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	andel, procent	2021	4
it-säkerhet	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	andel, procent	2023	..
it-säkerhet	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	andel, procent	2024	..
it-säkerhet	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	felmarginal, ±	2021	2
it-säkerhet	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	felmarginal, ±	2023	..
it-säkerhet	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	felmarginal, ±	2024	..
it-säkerhet	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2021	..
it-säkerhet	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2023	3
it-säkerhet	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2024	5
it-säkerhet	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2021	..
it-säkerhet	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2023	1
it-säkerhet	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2024	2
it-säkerhet	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2021	12
it-säkerhet	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2023	12
it-säkerhet	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2024	16
it-säkerhet	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2021	4
it-säkerhet	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2023	5
it-säkerhet	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2024	5
